id,word_id,ice,eng,answer,test_id,condition,knows_icelandic,youtube_usage
8dc44e9e,9,haf,sea,none,0,P,No,0-15 minutes
8dc44e9e,14,vinna,work,work,0,P,No,0-15 minutes
8dc44e9e,24,framkvæmt,implementation,travel,0,P,No,0-15 minutes
8dc44e9e,10,ást,love,play,0,P,No,0-15 minutes
8dc44e9e,6,vor,spring,work,0,P,No,0-15 minutes
8dc44e9e,26,borg,city,food,0,P,No,0-15 minutes
8dc44e9e,22,hugsa,think,learn,0,P,No,0-15 minutes
8dc44e9e,32,safn,museum,museum,0,P,No,0-15 minutes
8dc44e9e,39,árangur,success,anger,0,P,No,0-15 minutes
8dc44e9e,17,borða,eat,beach,0,P,No,0-15 minutes
8dc44e9e,15,hlæja,laugh,vacation,0,P,No,0-15 minutes
8dc44e9e,19,ganga,walk,eat,0,P,No,0-15 minutes
8dc44e9e,40,skap,mood,none,0,P,No,0-15 minutes
8dc44e9e,33,ferð,trip,none,0,P,No,0-15 minutes
8dc44e9e,1,fjall,mountain,none,0,P,No,0-15 minutes
8dc44e9e,35,sársauki,pain,secret,0,P,No,0-15 minutes
8dc44e9e,34,rödd,voice,none,0,P,No,0-15 minutes
8dc44e9e,12,reiði,anger,none,0,P,No,0-15 minutes
8dc44e9e,23,vita,know,water,0,P,No,0-15 minutes
8dc44e9e,16,gráta,cry,cave,0,P,No,0-15 minutes
8dc44e9e,3,gleði,joy,moon,1,N,No,0-15 minutes
8dc44e9e,7,haust,autumn,try,1,N,No,0-15 minutes
8dc44e9e,31,heppinn,lucky,lucky,1,N,No,0-15 minutes
8dc44e9e,11,friður,peace,freedom,1,N,No,0-15 minutes
8dc44e9e,25,forystumaður,leader,leader,1,N,No,0-15 minutes
8dc44e9e,18,hlaupa,run,make,1,N,No,0-15 minutes
8dc44e9e,13,synda,swim,see,1,N,No,0-15 minutes
8dc44e9e,21,heyra,hear,hear,1,N,No,0-15 minutes
8dc44e9e,29,mynd,picture,mind,1,N,No,0-15 minutes
8dc44e9e,28,gluggi,window,window,1,N,No,0-15 minutes
8dc44e9e,2,eldur,fire,fire,1,N,No,0-15 minutes
8dc44e9e,37,fjöldi,number,train,1,N,No,0-15 minutes
8dc44e9e,30,þögn,silence,number,1,N,No,0-15 minutes
8dc44e9e,4,draumur,dream,dream,1,N,No,0-15 minutes
8dc44e9e,38,verkefni,project,verify,1,N,No,0-15 minutes
8dc44e9e,36,hreyfa,move,hear,1,N,No,0-15 minutes
8dc44e9e,27,hurð,door,none,1,N,No,0-15 minutes
8dc44e9e,8,tungl,moon,chat,1,N,No,0-15 minutes
8dc44e9e,5,hljóð,sound,none,1,N,No,0-15 minutes
8dc44e9e,20,sjá,see,see,1,N,No,0-15 minutes
