id,word_id,ice,eng,answ_1,answ_2
28df8d52,1,framkvæmd,implementation ,,implementation
28df8d52,2,neysla,consumption,consumption,
28df8d52,3,forystumaður,leader,leader,
28df8d52,4,skynjun,perception,perception,
28df8d52,5,viðhorf,attitude,,
28df8d52,6,ávinningur,benefit,,benefit
28df8d52,7,auðmýkt,humility,,humility
28df8d52,8,yfirvöld,authorities,,
28df8d52,9,geðshræring,emotion,,emotion
28df8d52,10,ábyrgð,responsibility,,responsibility
28df8d52,11,siðferði,ethics,,
28df8d52,12,hugleiðing,meditation,meditation,
28df8d52,13,forsendur,assumptions,,
28df8d52,14,viðnám,resistance,,resistance
28df8d52,15,yfirborð,surface,,surface
28df8d52,16,vitund,awareness,,awareness
28df8d52,17,takmörk,limits,limits,
28df8d52,18,hugrekki,courage,,courage
28df8d52,19,tilfinning,feeling,,
28df8d52,20,örvænting,despair,despair,
28df8d52,21,framfarir,progress,progress,
28df8d52,22,endurreisn,reconstruction,,
28df8d52,23,áhrif,influence,,
28df8d52,24,einföldun,simplification,,
28df8d52,25,umbreyting,transformation,,
28df8d52,26,rökfræði,logic,,
28df8d52,27,þátttaka,participation,,
28df8d52,28,áskorun,challenge,,
28df8d52,29,lausn,solution,solution,
28df8d52,30,sambúð,coexistence,coexistence,
28df8d52,31,miðlun,mediation,,mediation
28df8d52,32,hlutverk,function,function,
28df8d52,33,viðbrögð,reactions,,reactions
28df8d52,34,siðspilling,corruption,,corruption
28df8d52,35,arfleifð,heritage,heritage,
28df8d52,36,markmið,objective,objective,
28df8d52,37,áhrifaríkur,influential,influential,
28df8d52,38,hvatning,motivation,,motivation
28df8d52,39,samkennd,empathy,,empathy
28df8d52,40,úlfaldi,camel,camel,
28df8d52,41,tungl,moon,,
28df8d52,42,logi,flame,,flame
28df8d52,43,bros,smile,,smile
28df8d52,44,hákarl,shark,,shark
28df8d52,45,vindlingur,cigar,cigar,
28df8d52,46,sími,phone,,phone
28df8d52,47,sauðfé,sheep,,
28df8d52,48,skammbyssa,pistol,,
28df8d52,49,ljósmynd,photo,,
28df8d52,50,veski,purse,,purse
