id,word_id,ice,eng,answ_1,answ_2
2454d369,1,framkvæmd,implementation ,13.0,
2454d369,2,neysla,consumption,25.0,
2454d369,3,forystumaður,leader,14.0,
2454d369,4,skynjun,perception,,39
2454d369,5,viðhorf,attitude,21.0,
2454d369,6,ávinningur,benefit,,38
2454d369,7,auðmýkt,humility,23.0,
2454d369,8,yfirvöld,authorities,4.0,
2454d369,9,geðshræring,emotion,10.0,
2454d369,10,ábyrgð,responsibility,5.0,
2454d369,11,siðferði,ethics,19.0,
2454d369,12,hugleiðing,meditation,,45
2454d369,13,forsendur,assumptions,,49
2454d369,14,viðnám,resistance,9.0,
2454d369,15,yfirborð,surface,24.0,
2454d369,16,vitund,awareness,,28
2454d369,17,takmörk,limits,,26
2454d369,18,hugrekki,courage,,34
2454d369,19,tilfinning,feeling,,42
2454d369,20,örvænting,despair,16.0,
2454d369,21,framfarir,progress,,40
2454d369,22,endurreisn,reconstruction,20.0,
2454d369,23,áhrif,influence,,47
2454d369,24,einföldun,simplification,,37
2454d369,25,umbreyting,transformation,,36
2454d369,26,rökfræði,logic,22.0,
2454d369,27,þátttaka,participation,,32
2454d369,28,áskorun,challenge,3.0,
2454d369,29,lausn,solution,,31
2454d369,30,sambúð,coexistence,,41
2454d369,31,miðlun,mediation,6.0,
2454d369,32,hlutverk,function,7.0,
2454d369,33,viðbrögð,reactions,,48
2454d369,34,siðspilling,corruption,,33
2454d369,35,arfleifð,heritage,,30
2454d369,36,markmið,objective,2.0,
2454d369,37,áhrifaríkur,influential,,50
2454d369,38,hvatning,motivation,,27
2454d369,39,samkennd,empathy,,46
2454d369,40,úlfaldi,camel,,29
2454d369,41,tungl,moon,,35
2454d369,42,logi,flame,17.0,
2454d369,43,bros,smile,8.0,
2454d369,44,hákarl,shark,11.0,
2454d369,45,vindlingur,cigar,1.0,
2454d369,46,sími,phone,,44
2454d369,47,sauðfé,sheep,18.0,
2454d369,48,skammbyssa,pistol,12.0,
2454d369,49,ljósmynd,photo,15.0,
2454d369,50,veski,purse,,43
