id,word_id,ice,eng,answ_1,answ_2
b84ebc7d,1,Gluggi,Window,window,window
b84ebc7d,2,Stóll,Chair,chair,chair
b84ebc7d,3,Borð,Table,table,table
b84ebc7d,4,Fatnaður,Clothing,clothing,clothes
b84ebc7d,5,Skór,Shoes,shoes,shoes
b84ebc7d,6,Sokkar,Socks,socks,socks
b84ebc7d,7,Jakki,Jacket,jacket,jacket
b84ebc7d,8,Hattur,Hat,hat,hat
b84ebc7d,9,Mynd,Picture,picture,picture
b84ebc7d,10,Ljós,Light,light,light
b84ebc7d,11,Hár,Hair,hair,hair
b84ebc7d,12,Auga,Eye,eyes,eyes
b84ebc7d,13,Tennur,Teeth,teeth,teeth
b84ebc7d,14,Hjörtu,Hearts,hearts,hearts
b84ebc7d,15,Hönd,Hand,hand,hand
b84ebc7d,16,Fótur,Foot,foot,foot
b84ebc7d,17,Borg,City,city,city
b84ebc7d,18,Kirkja,Church,church,church
b84ebc7d,19,Bréf,Letter,letter,letter
b84ebc7d,20,Lykill,Key,key,key
